"","scholar","author","year","keywd"
"1","title|url|year|num_citations|num_versions|cluster_id|url_pdf|url_citations|url_versions|url_citation|excerpt","authors","year","keywd"
"2","La classification des carcasses porcines en utilisant différentes méthodes d'analyse statistique|http://www.viandesetproduitscarnes.com/phocadownload/vpc_vol_30/3054_pomar_prediction_composition_carcasse_porc.pdf|2014|0|5|None|http://www.viandesetproduitscarnes.com/phocadownload/vpc_vol_30/3054_pomar_prediction_composition_carcasse_porc.pdf|None|http://scholar.google.com/scholar?cluster=6444186065231599613&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Résumé: L'épaisseur du gras et du muscle dorsal sont utilisés généralement pour prédire le rendement en maigre (RM) à l'aide d'équations de régression (LR). D'autres méthodes statistiques estimant le RM des carcasses et la composition des pièces principales à partir  ...","Félix-Antoine Fortin","2014","none"
"3","Effect of Hypohydration on Muscle Endurance, Strength, Anaerobic Power and Capacity and Vertical Jumping Ability: A Meta-Analysis|http://link.springer.com/article/10.1007/s40279-015-0349-0|2015|0|0|None|None|None|None|None|Background How hypohydration impacts non-bodyweight (BW)-dependent muscle performance and vertical jumping ability remains to be determined using meta-analytic procedures. Objectives Our objective was to determine the impact of hypohydration on  ...","Félix-Antoine Fortin","2014","none"
"4","Crucial requirement of ERK/MAPK signaling in respiratory tract development|http://dev.biologists.org/content/141/16/3197.short|2014|6|4|3073274877606809250|None|http://scholar.google.com/scholar?cites=3073274877606809250&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=3073274877606809250&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Abstract The mammalian genome contains two ERK/MAP kinase genes, Mek1 and Mek2, which encode dual-specificity kinases responsible for ERK/MAP kinase activation. In order to define the function of the ERK/MAPK pathway in the lung development in mice, we  ...","Félix-Antoine Fortin","2014","none"
"5","Epithelial inactivation of Yy1 abrogates lung branching morphogenesis|http://scholar.google.com/https://dev.biologists.org/content/142/17/2981.full|2015|0|0|None|None|None|None|None|Abstract Yin Yang 1 (YY1) is a multifunctional zinc-finger-containing transcription factor that plays crucial roles in numerous biological processes by selectively activating or repressing transcription, depending upon promoter contextual differences and specific protein  ...","Félix-Antoine Fortin","2014","none"
"6","Partial functional redundancy between Hoxa5 and Hoxb5 paralog genes during lung morphogenesis|http://ajplung.physiology.org/content/304/12/L817.short|2013|9|7|297755441347116350|None|http://scholar.google.com/scholar?cites=297755441347116350&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=297755441347116350&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Abstract Hox genes encode transcription factors governing complex developmental processes in several organs. A subset of Hox genes are expressed in the developing lung. Except for Hoxa5, the lack of overt lung phenotype in single mutants suggests that Hox  ...","Félix-Antoine Fortin","2014","none"
"7","Hoxa5/Cre transgenic mice: Novel tools for regional deletion along the anterior‐posterior axis|http://onlinelibrary.wiley.com/doi/10.1002/dvg.22733/full|2014|0|4|None|None|None|http://scholar.google.com/scholar?cluster=1423686279170248460&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Summary: The Hoxa5 homeobox gene encodes a transcription factor that plays a critical role in specifying the identity of the cervico-thoracic region along the anterior-posterior embryo axis and in orchestrating organ morphogenesis. The loss of Hoxa5 function results in  ...","Félix-Antoine Fortin","2014","none"
"8","Cardiomyocyte lipotoxicity is mediated by Il-6 and causes down-regulation of PPARs|http://www.sciencedirect.com/science/article/pii/S0006291X15002909|2015|2|4|1383900042808412020|None|http://scholar.google.com/scholar?cites=1383900042808412020&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=1383900042808412020&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Abstract Here we sought to evaluate the effect of palmitate on cytokine and PPAR activity/expression. We investigated the effect of BSA conjugated palmitate and oleate on PPAR activity, PPAR-α and δ expression, as well as the expression of cytokines and key  ...","Félix-Antoine Fortin","2014","none"
"9","Bioengineering the Lung: Molecules, Materials, Matrix, Morphology, and Mechanics: Partial functional redundancy between Hoxa5 and Hoxb5 paralog genes during  …|http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3680751/|2013|0|0|None|None|None|None|None|Warning: The NCBI web site requires JavaScript to function. more...   ... Am J Physiol Lung Cell Mol Physiol. Jun 15, 2013; 304(12): L817–L830.   ... * O. Boucherat and S. Montaron contributed equally to the work.   ... Address for reprint requests and other correspondence: L.  ... ","Félix-Antoine Fortin","2014","none"
"10","DEAP: enabling nimbler evolutions|http://dl.acm.org/citation.cfm?id=2597455|2014|1|3|228605956238238234|None|http://scholar.google.com/scholar?cites=228605956238238234&as_sdt=2005&sciodt=1,5&hl=en|http://scholar.google.com/scholar?cluster=228605956238238234&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Abstract DEAP is a Distributed Evolutionary Algorithm (EA) framework written in Python and designed to help researchers developing custom evolutionary algorithms. Its design philosophy promotes explicit algorithms and transparent data structures, in contrast with  ...","Félix-Antoine Fortin","2014","none"
"11","Démystifier les types de tests|http://www.elapsetech.com/media/145214/taxonomie-des-tests-jan14.pdf|2014|0|2|None|http://www.elapsetech.com/media/145214/taxonomie-des-tests-jan14.pdf|None|http://scholar.google.com/scholar?cluster=12913740962195779124&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Tout comme on peut catégoriser les légumes en fonction de leur couleur ou de leur forme. Il existe donc, dans les faits, une multitude de taxonomies possibles. Ainsi, un même test peut appartenir à plusieurs groupes à l'instar d'une carotte qui peut être à la fois classifiée dans  ...","Félix-Antoine Fortin","2014","none"
"12","Saturated fatty acids induce endoplasmic reticulum stress in primary cardiomyocytes|http://www.degruyter.com/view/j/ersc.2015.2.issue-1/ersc-2015-0004/ersc-2015-0004.pdf|2015|0|4|None|http://www.degruyter.com/view/j/ersc.2015.2.issue-1/ersc-2015-0004/ersc-2015-0004.pdf|None|http://scholar.google.com/scholar?cluster=15822495335377523175&hl=en&as_sdt=1,5&as_ylo=2013&as_vis=1|None|Abstract: Introduction: Diabetes is a major contributor to cardiovascular disease. There is a growing body of evidence pointing towards intra-myocellular lipid accumulation as an integral etiological factor. Here we aimed to determine the effect of two common fatty acids  ...","Félix-Antoine Fortin","2014","none"
